POSTCODES,Zone,Minimum,5mi,10mi,15mi
 W14,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W2,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 W3,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W4,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W5,Zone 5,29.95 ,6.95 ,11.95 ,16.95 
 W6,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W7,Zone 5,29.95 ,6.95 ,11.95 ,16.95 
 W8,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 W9,Zone 4,24.95 ,6.95 ,11.95 ,16.95 
 WC1,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1A,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1B,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1E,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1H,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1N,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1R,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1V,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC1X,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2A,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2B,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2E,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2H,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2N,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2R,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
 WC2,Zone 3,19.95 ,6.95 ,11.95 ,16.95 
